"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C2","0.01uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C3,C4,C5,C6,C7,C8,C9","C","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","7",""
"D1","Green","~","LED_THT:LED_D5.0mm","1",""
"D2,D3","Yellow","~","LED_THT:LED_D5.0mm","2",""
"D4,D5,D6,D7,D8,D9,D10,D11","Red","~","LED_THT:LED_D5.0mm","8",""
"J1","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"R1,R5,R6","R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R2,R15,R16","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"RN1","R_Network04","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP5","1",""
"RN2,RN3","R_Network03","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP4","2",""
"RV1","1M","~","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","1",""
"SW1,SW2","SW_DIP_x04","~","Package_DIP:DIP-8_W7.62mm","2",""
"SW3,SW4,SW5","SW_Push","~","RetroStackLibrary:SW_SPST_Push","3",""
"U2","74LS161","http://www.ti.com/lit/gpn/sn74LS161","Package_DIP:DIP-16_W7.62mm","1",""
"U3","74LS174","http://www.ti.com/lit/gpn/sn74LS174","Package_DIP:DIP-16_W7.62mm","1",""
"U4","74LS85","http://www.ti.com/lit/gpn/sn74LS85","Package_DIP:DIP-16_W7.62mm","1",""
"U5","74LS175","http://www.ti.com/lit/gpn/sn74LS175","Package_DIP:DIP-16_W7.62mm","1",""
"U6","74LS08","http://www.ti.com/lit/gpn/sn74LS08","Package_DIP:DIP-14_W7.62mm","1",""
"U7","74LS194","http://www.ti.com/lit/gpn/sn74LS194","Package_DIP:DIP-16_W7.62mm","1",""
"U8","74LS02","http://www.ti.com/lit/gpn/sn74ls02","","1",""
"U10","NA555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
